V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
0,0.125730256,0.135250631,0.139722322,0.139109268,0.132654165,0.133411468,0.141182834,0.137107825,0.142733502,0.134403173,0.13717995,0.13736026,0.138766679,0.139704291,0.127875947,0.135521096,0.13878471,0.128326722,0.138135593,0.141705734,0.135989903,0.138496213,0.136783267,0.1409304,0.13914533,0.13184277,0.128723404,0.136314461,0.109466282,0.131301839,0.135863686,0.131391994,0.139433826,0.135467003,0.136548864,0.14111071,0.140173098,0.140479625,0.136620988,0.137522539,0.138748648,0.133844212,0.13717995,0.138892896,0.131788677,0.141958168,0.133357375,0.137991345,0.138406058
0.125730256,0,0.125171295,0.130977281,0.136620988,0.138189686,0.13878471,0.13274432,0.133213127,0.130905157,0.129859358,0.134276956,0.135719437,0.13754057,0.129029931,0.141020555,0.132960692,0.134799856,0.130706816,0.130851064,0.133537685,0.132582041,0.127244861,0.135124414,0.126830148,0.1295348,0.131608366,0.133249189,0.132329607,0.122430581,0.132185359,0.134619546,0.132275514,0.125730256,0.131644428,0.131229715,0.132527948,0.124071403,0.135088352,0.133537685,0.12847097,0.129642986,0.13416877,0.129318428,0.140497656,0.134114677,0.133898305,0.12865128,0.133357375,0.128939776
0.135250631,0.125171295,0,0.133573747,0.139487919,0.133754057,0.140425532,0.130292102,0.133754057,0.131572304,0.134060584,0.134006491,0.130526506,0.126721962,0.134673639,0.135719437,0.134817887,0.136025965,0.130905157,0.134547422,0.135485034,0.137125856,0.130869095,0.124504147,0.136098089,0.131337901,0.137576632,0.134439235,0.144103859,0.130724847,0.135160476,0.137576632,0.13896502,0.128362784,0.144212045,0.139055175,0.135701406,0.130833033,0.135683375,0.136404616,0.144987378,0.136422647,0.13292463,0.135521096,0.135250631,0.107212405,0.134060584,0.125549946,0.138153624,0.131860801
0.139722322,0.130977281,0.133573747,0,0.134439235,0.129498738,0.138640462,0.134619546,0.138658493,0.137522539,0.136152182,0.135088352,0.140407501,0.130688785,0.13434908,0.146123332,0.130436351,0.135971872,0.126812117,0.127695636,0.139397764,0.134853949,0.131932925,0.129913451,0.134619546,0.117706455,0.13256401,0.134222863,0.137089794,0.131301839,0.133717995,0.133068878,0.129480707,0.129733141,0.13326722,0.133177065,0.128885683,0.135088352,0.136422647,0.135467003,0.141958168,0.129029931,0.127443202,0.135737468,0.134475298,0.1409304,0.136801298,0.13059863,0.134078615,0.134529391
0.139109268,0.136620988,0.139487919,0.134439235,0,0.136332492,0.142895781,0.13184277,0.136891453,0.139974757,0.136134151,0.141038586,0.139794446,0.141002524,0.141849982,0.142138478,0.138983051,0.140732059,0.135394879,0.139343671,0.14163361,0.126956365,0.130851064,0.139938695,0.136530833,0.137883159,0.141128741,0.131157591,0.140714028,0.135701406,0.141399207,0.126307248,0.136368554,0.140876307,0.138099531,0.134475298,0.14305806,0.137270105,0.142120447,0.101280202,0.142084385,0.140245222,0.135701406,0.131518211,0.143184277,0.138658493,0.132131266,0.130021637,0.136494771,0.139307609
0.132654165,0.138189686,0.133754057,0.129498738,0.136332492,0,0.14359899,0.139397764,0.133411468,0.138622431,0.138802741,0.14253516,0.139830508,0.13487198,0.141074648,0.137774973,0.131824739,0.140659935,0.129624955,0.143346556,0.137666787,0.139469888,0.136007934,0.137919221,0.135665344,0.136711143,0.142463036,0.139956726,0.14199423,0.128525063,0.133862243,0.13487198,0.136530833,0.138009376,0.134114677,0.133014785,0.129697079,0.134655608,0.141002524,0.135683375,0.137468446,0.140497656,0.136783267,0.13326722,0.130165885,0.13559322,0.134817887,0.131608366,0.135629282,0.136909484
0.133411468,0.13878471,0.140425532,0.138640462,0.142895781,0.14359899,0,0.140443563,0.130796971,0.134240894,0.138676524,0.130436351,0.144951316,0.138153624,0.14287775,0.145582402,0.135719437,0.139758384,0.138117562,0.133826181,0.136404616,0.132834475,0.139289578,0.137089794,0.137053732,0.129787234,0.134367111,0.134006491,0.145600433,0.142805626,0.137522539,0.139830508,0.137450415,0.140443563,0.133213127,0.13326722,0.135448972,0.136314461,0.139668229,0.143923549,0.136548864,0.135737468,0.112297151,0.142589254,0.129787234,0.129426614,0.144284169,0.135286693,0.137829066,0.136368554
0.141182834,0.13274432,0.130292102,0.134619546,0.13184277,0.139397764,0.140443563,0,0.138099531,0.138388027,0.125964659,0.141723765,0.123151821,0.13168049,0.13772088,0.136458709,0.141363145,0.134926073,0.131410025,0.131788677,0.134763794,0.135214569,0.134258925,0.140046881,0.13150018,0.134529391,0.138622431,0.136693112,0.13826181,0.135881717,0.129084025,0.128507032,0.138063469,0.12580238,0.138460151,0.138838803,0.136025965,0.128561125,0.139433826,0.111341507,0.140353408,0.135539127,0.139217454,0.136098089,0.142390912,0.130292102,0.144248107,0.129282366,0.139974757,0.135521096
0.137107825,0.133213127,0.133754057,0.138658493,0.136891453,0.133411468,0.130796971,0.138099531,0,0.137648756,0.138568338,0.138424089,0.138351965,0.141327083,0.143995673,0.139650198,0.134619546,0.13772088,0.137973314,0.132942661,0.137035701,0.142499098,0.141345114,0.13665705,0.140299315,0.13736026,0.134781825,0.141218897,0.142661378,0.139776415,0.137414353,0.139523981,0.140840245,0.140876307,0.141128741,0.134962135,0.141579517,0.137594663,0.145690588,0.139812477,0.137342229,0.139722322,0.136314461,0.138640462,0.136043996,0.14075009,0.137216012,0.135304724,0.133645871,0.141849982
0.142733502,0.130905157,0.131572304,0.137522539,0.139974757,0.138622431,0.134240894,0.138388027,0.137648756,0,0.135791561,0.132852506,0.142769564,0.135286693,0.137035701,0.142318788,0.135376848,0.13292463,0.125207357,0.136170213,0.139163361,0.137053732,0.137125856,0.137594663,0.136891453,0.137161918,0.141254959,0.140659935,0.135124414,0.139560043,0.133285251,0.136711143,0.137252074,0.137576632,0.130742878,0.132978723,0.1323837,0.139433826,0.140858276,0.136999639,0.130508475,0.133555716,0.144049766,0.133934367,0.137324198,0.133681933,0.136963577,0.138910927,0.13398846,0.135088352
0.134403173,0.129859358,0.134060584,0.136152182,0.136134151,0.138802741,0.138676524,0.125964659,0.138568338,0.135791561,0,0.129426614,0.128687342,0.136729174,0.13416877,0.132888568,0.128777497,0.134727732,0.132654165,0.131644428,0.139307609,0.128416877,0.135665344,0.13717995,0.132888568,0.135376848,0.139289578,0.133339344,0.130977281,0.135503065,0.131157591,0.128254598,0.1323837,0.130310133,0.129336459,0.134944104,0.135142445,0.137973314,0.133844212,0.130544537,0.13772088,0.134024522,0.134817887,0.1266859,0.143346556,0.13701767,0.134799856,0.131662459,0.140155067,0.092643347
0.13717995,0.134276956,0.134006491,0.135088352,0.141038586,0.14253516,0.130436351,0.141723765,0.138424089,0.132852506,0.129426614,0,0.137991345,0.130400288,0.135539127,0.141164803,0.133068878,0.131987018,0.134998197,0.13451136,0.141849982,0.128885683,0.138388027,0.139091237,0.132942661,0.130382257,0.123025604,0.140714028,0.136188244,0.127335016,0.132600072,0.13274432,0.135971872,0.133429499,0.136999639,0.132654165,0.132852506,0.134601515,0.139217454,0.142589254,0.139415795,0.13593581,0.138207717,0.134565453,0.1414533,0.126776055,0.14253516,0.133699964,0.133231158,0.127010458
0.13736026,0.135719437,0.130526506,0.140407501,0.139794446,0.139830508,0.144951316,0.123151821,0.138351965,0.142769564,0.128687342,0.137991345,0,0.1290119,0.145221781,0.145870898,0.139668229,0.137486477,0.139253516,0.134853949,0.137504508,0.1352326,0.132834475,0.142985936,0.137558601,0.140335377,0.139542012,0.14484313,0.142463036,0.134890011,0.136404616,0.130923188,0.136711143,0.124882798,0.141669672,0.144049766,0.13968626,0.131644428,0.135755499,0.127731699,0.13736026,0.140046881,0.141489362,0.134709701,0.14412189,0.140371439,0.141038586,0.122466643,0.136909484,0.134619546
0.138766679,0.13754057,0.126721962,0.130688785,0.141002524,0.13487198,0.138153624,0.13168049,0.141327083,0.135286693,0.136729174,0.130400288,0.1290119,0,0.134673639,0.13878471,0.132654165,0.133429499,0.130544537,0.13451136,0.130111792,0.131031374,0.130003606,0.122827263,0.134294987,0.12455824,0.127785792,0.137432384,0.138658493,0.114911648,0.132888568,0.126072845,0.135575189,0.133916336,0.138766679,0.110962856,0.129408583,0.136134151,0.135448972,0.118049044,0.1352326,0.136494771,0.129462676,0.133393437,0.13095925,0.13274432,0.126144969,0.12562207,0.126920303,0.131716552
0.139704291,0.129029931,0.134673639,0.13434908,0.141849982,0.141074648,0.14287775,0.13772088,0.143995673,0.137035701,0.13416877,0.135539127,0.145221781,0.134673639,0,0.142012261,0.137666787,0.139019113,0.137666787,0.14484313,0.139902633,0.133970429,0.133159034,0.130977281,0.124864767,0.143959611,0.135304724,0.141399207,0.137937252,0.134763794,0.135214569,0.135178507,0.12562207,0.134114677,0.129913451,0.135881717,0.118373603,0.138892896,0.13451136,0.140317346,0.139740353,0.141381176,0.137432384,0.129192211,0.141435269,0.135557158,0.139091237,0.130977281,0.138928958,0.132798413
0.127875947,0.141020555,0.135719437,0.146123332,0.142138478,0.137774973,0.145582402,0.136458709,0.139650198,0.142318788,0.132888568,0.141164803,0.145870898,0.13878471,0.142012261,0,0.140317346,0.135178507,0.133375406,0.140371439,0.14287775,0.130508475,0.141435269,0.137811035,0.13914533,0.14111071,0.136404616,0.128308691,0.111630004,0.131770646,0.128200505,0.134835918,0.132636134,0.140227191,0.137414353,0.135755499,0.136494771,0.123873062,0.141092679,0.135160476,0.130364226,0.136224306,0.139632167,0.140263253,0.139722322,0.137738911,0.138315903,0.137937252,0.135647313,0.138045438
0.135521096,0.132960692,0.134817887,0.130436351,0.138983051,0.131824739,0.135719437,0.141363145,0.134619546,0.135376848,0.128777497,0.133068878,0.139668229,0.132654165,0.137666787,0.140317346,0,0.131788677,0.133429499,0.131031374,0.134944104,0.136927515,0.137197981,0.133537685,0.134673639,0.1409304,0.136584926,0.136007934,0.138802741,0.129642986,0.136242337,0.138369996,0.125712225,0.136999639,0.134132708,0.134385142,0.137738911,0.131950956,0.140912369,0.135683375,0.1380815,0.13772088,0.142823657,0.1414533,0.137378291,0.135539127,0.135755499,0.123566534,0.127569419,0.130616661
0.13878471,0.134799856,0.136025965,0.135971872,0.140732059,0.140659935,0.139758384,0.134926073,0.13772088,0.13292463,0.134727732,0.131987018,0.137486477,0.133429499,0.139019113,0.135178507,0.131788677,0,0.131662459,0.133429499,0.138676524,0.136188244,0.140335377,0.137847097,0.134439235,0.130706816,0.134096646,0.136278399,0.127875947,0.133609809,0.12277317,0.131860801,0.137234043,0.133663902,0.132545979,0.139578074,0.136765236,0.126000721,0.135286693,0.137306167,0.136458709,0.132672196,0.141471331,0.13380815,0.14111071,0.137991345,0.13310494,0.13095925,0.133141003,0.134547422
0.128326722,0.130706816,0.130905157,0.126812117,0.135394879,0.129624955,0.138117562,0.131410025,0.137973314,0.125207357,0.132654165,0.134998197,0.139253516,0.130544537,0.137666787,0.133375406,0.133429499,0.131662459,0,0.130472413,0.13914533,0.128759466,0.13559322,0.129697079,0.132005049,0.125171295,0.13950595,0.133717995,0.129282366,0.13310494,0.129751172,0.13095925,0.133213127,0.133122972,0.130905157,0.13844212,0.137324198,0.132113235,0.139902633,0.131536242,0.127082582,0.134457266,0.134385142,0.130003606,0.135196538,0.131085467,0.131265777,0.133754057,0.134817887,0.130796971
0.138135593,0.130851064,0.134547422,0.127695636,0.139343671,0.143346556,0.133826181,0.131788677,0.132942661,0.136170213,0.131644428,0.13451136,0.134853949,0.13451136,0.14484313,0.140371439,0.131031374,0.133429499,0.130472413,0,0.136422647,0.135827624,0.141309052,0.135863686,0.133249189,0.130183916,0.141615579,0.13398846,0.135881717,0.136025965,0.128597187,0.131734583,0.134853949,0.133970429,0.134727732,0.138658493,0.130905157,0.133970429,0.138802741,0.134421204,0.133699964,0.137468446,0.139560043,0.134727732,0.135647313,0.139415795,0.140245222,0.134781825,0.137143887,0.136675081
0.141705734,0.133537685,0.135485034,0.139397764,0.14163361,0.137666787,0.136404616,0.134763794,0.137035701,0.139163361,0.139307609,0.141849982,0.137504508,0.130111792,0.139902633,0.14287775,0.134944104,0.138676524,0.13914533,0.136422647,0,0.137756942,0.138135593,0.135088352,0.13932564,0.138225748,0.145167688,0.138045438,0.142030292,0.137648756,0.139343671,0.139848539,0.135124414,0.132275514,0.139830508,0.126018752,0.136242337,0.139001082,0.142625316,0.130201947,0.138586369,0.137342229,0.137035701,0.139938695,0.141525424,0.139848539,0.140515687,0.127695636,0.133898305,0.13717995
0.135989903,0.132582041,0.137125856,0.134853949,0.126956365,0.139469888,0.132834475,0.135214569,0.142499098,0.137053732,0.128416877,0.128885683,0.1352326,0.131031374,0.133970429,0.130508475,0.136927515,0.136188244,0.128759466,0.135827624,0.137756942,0,0.134240894,0.135737468,0.129552831,0.134421204,0.129480707,0.134781825,0.138135593,0.13968626,0.129336459,0.135575189,0.130147854,0.126361342,0.133339344,0.133699964,0.136602957,0.132437793,0.131788677,0.12740714,0.129733141,0.134817887,0.129336459,0.134313018,0.136765236,0.133663902,0.138027407,0.12758745,0.133483592,0.129246304
0.138496213,0.127244861,0.130869095,0.131932925,0.130851064,0.136007934,0.139289578,0.134258925,0.141345114,0.137125856,0.135665344,0.138388027,0.132834475,0.130003606,0.133159034,0.141435269,0.137197981,0.140335377,0.13559322,0.141309052,0.138135593,0.134240894,0,0.134493329,0.138586369,0.137666787,0.138550307,0.134890011,0.139956726,0.130003606,0.134547422,0.137306167,0.13184277,0.12989542,0.138279841,0.136242337,0.137865128,0.13505229,0.140605842,0.132257483,0.137666787,0.134114677,0.143220339,0.137071763,0.133609809,0.138225748,0.125063109,0.137234043,0.132600072,0.139253516
0.136783267,0.135124414,0.124504147,0.129913451,0.139938695,0.137919221,0.137089794,0.140046881,0.13665705,0.137594663,0.13717995,0.139091237,0.142985936,0.122827263,0.130977281,0.137811035,0.133537685,0.137847097,0.129697079,0.135863686,0.135088352,0.135737468,0.134493329,0,0.133970429,0.136801298,0.134817887,0.13041832,0.141886044,0.137342229,0.137774973,0.135989903,0.137865128,0.135845655,0.131067436,0.135791561,0.134709701,0.133375406,0.133195096,0.133141003,0.138983051,0.135539127,0.139722322,0.140623873,0.135142445,0.139037144,0.134060584,0.133429499,0.135647313,0.131824739
